Annotation_Accession,host,isolation_source,Manual_Annotation
GCA_001722005.2_ASM172200v2,NA,soil,Soil
GCA_013344605.1_ASM1334460v1,NA,air,Terrestrial
GCA_001913175.1_ASM191317v1,Homo sapiens,urine sample,Humans
GCA_009909445.1_ASM990944v1,NA,chicken manure,Livestock
GCA_002180335.1_ASM218033v1,NA,rock biofilm and bottom sediments,Sediment
GCA_000988095.1_ASM98809v1,Homo sapiens,lower leg ulcer,Humans
GCA_004353225.1_ASM435322v1,NA,Water from the baltic sea,Marine
GCA_013306825.1_ASM1330682v1,tomato,NA,Agriculture
GCA_006165285.1_ASM616528v1,NA,NA,NA
GCA_001558795.2_ASM155879v2,Homo sapiens,Skin swab,Humans
GCA_001022275.1_ASM102227v1,Homo sapiens,Respiratory,Humans
GCA_001549765.1_XFAS001-SEQ-2-ASM-1,Citrus sinensis,leaf,Agriculture
GCA_005706855.1_ASM570685v1,Homo sapiens,NA,Humans
GCA_000020105.1_ASM2010v1,NA,NA,NA
GCA_003595385.1_ASM359538v1,Homo sapiens,Groin,Humans
GCA_001518875.1_ASM151887v1,NA,fried eel,Food
GCA_009363595.1_ASM936359v1,NA,Surface of a polyethylene microplastic particle present in tank 6 of a marine aquarium containing stony-coral fragments and water maintained at 26 degree C,Human-impacted
GCA_002749655.1_ASM274965v1,NA,NA,NA
GCA_001929095.2_ASM192909v2,Oryza sativa,NA,Agriculture
GCA_003288275.1_ASM328827v1,Corvus brachyrhynchos,feces,Animals
GCA_000832425.1_ASM83242v1,sheep,NA,Livestock
GCA_000242935.3_ASM24293v3,NA,NA,NA
GCA_002156845.1_ASM215684v1,NA,fecal sample,Humans
GCA_003571785.1_ASM357178v1,NA,NA,NA
GCA_002407265.1_ASM240726v1,NA,oil-contaminated sediment,Human-impacted
GCA_012050025.1_ASM1205002v1,Homo sapiens,Diarrheal patient,Humans
GCA_006457285.1_ASM645728v1,Oryctes gigas,NA,Animals
GCA_001689935.1_ASM168993v1,Homo sapiens,Human,Humans
GCA_001998805.1_ASM199880v1,NA,kimchi,Food
GCA_013177375.1_ASM1317737v1,NA,food,Food
GCA_002934585.1_ASM293458v1,NA,NA,NA
GCA_009739885.1_ASM973988v1,Homo sapiens,blood,Humans
GCA_000819565.1_ASM81956v1,NA,NA,NA
GCA_009363495.1_ASM936349v1,NA,Surface of a polyethylene microplastic particle present in tank 6 of a marine aquarium containing stony-coral fragments and water maintained at 26 degree C,Human-impacted
GCA_001705385.1_ASM170538v1,Homo sapiens,blood,Humans
GCA_902498835.1_assembly,NA,pigeon,Animals
GCA_006711645.1_ASM671164v1,NA,anodic biofilm of glucose-fed microbial fuel cell originally inoculated with sewage sludge,Human-impacted
GCA_010092485.1_ASM1009248v1,Canine,Canine feces,Livestock
GCA_001028325.1_gdodcwi02_v01,Homo sapiens,wound,Humans
GCA_000165505.1_ASM16550v1,NA,marine mud,Sediment
GCA_012241635.1_ASM1224163v1,Homo sapiens,clinical isolate,Humans
GCA_003597675.1_ASM359767v1,Rosa,NA,Plants
GCA_001663755.1_ASM166375v1,NA,brewery environment,Human-impacted
GCA_001593585.2_ASM159358v2,Homo sapiens,Rectal swab,Humans
GCA_002393465.1_ASM239346v1,Homo sapiens,Stool,Humans
GCA_009650415.1_ASM965041v1,NA,flower,Plants
GCA_002139875.1_ASM213987v1,NA,Alpaca; fecal,Livestock
GCA_004328785.1_ASM432878v1,Bovine,bovine peripheral lymph node,Livestock
GCA_001701845.2_ASM170184v2,Homo sapiens,Stool,Humans
GCA_009648955.1_ASM964895v1,NA,Mac and Cheese,Food
GCA_000829075.1_ASM82907v1,NA,NA,NA
GCA_002078335.1_ASM207833v1,Amblyomma neumanni,NA,Animals
GCA_002753355.1_ASM275335v1,NA,NA,NA
GCA_000204375.3_V891_0.2,chicken,NA,Livestock
GCA_008710235.1_ASM871023v1,Homo sapiens,stool,Humans
GCA_004010735.1_ASM401073v1,NA,feces,Humans
GCA_011305775.1_ASM1130577v1,NA,Siniperca scherzeri,Animals
GCA_011106795.1_ASM1110679v1,Homo sapiens,urine,Humans
GCA_008370815.1_ASM837081v1,Homo sapiens,NA,Humans
GCA_002278075.1_ASM227807v1,NA,soil,Soil
GCA_009938265.1_ASM993826v1,NA,Midgut crypts of stink bug Togo hemipterus,Animals
GCA_012935165.1_ASM1293516v1,Homo sapiens,sputum,Humans
GCA_013167755.1_ASM1316775v1,NA,beef,Food
GCA_013267575.1_ASM1326757v1,Homo sapiens,normal skin of the left arm,Humans
GCA_001664245.1_ASM166424v1,Phaseolus vulgaris,legume-root nodule,Agriculture
GCA_000348545.1_ASM34854v1,NA,NA,NA
GCA_001675515.1_ASM167551v1,NA,NA,NA
GCA_000959605.1_ASM95960v1,NA,NA,NA
GCA_009762745.1_ASM976274v1,NA,probiotic preparation 'Lactobacterinum',Human-impacted
GCA_003812505.1_ASM381250v1,Homo sapiens,NA,Humans
GCA_003966935.1_ASM396693v1,NA,Yogurt,Food
GCA_011764485.1_ASM1176448v1,NA,crushed cell of Callyspongia sp.,Animals
GCA_009662395.1_ASM966239v1,NA,NA,NA
GCA_002934505.1_ASM293450v1,NA,NA,NA
GCA_000954135.2_ASM95413v2,NA,NA,NA
GCA_009739675.1_ASM973967v1,Homo sapiens,blood,Humans
GCA_001030035.1_ASM103003v1,Homo sapiens,NA,Humans
GCA_001704975.1_ASM170497v1,NA,NA,NA
GCA_003076355.1_ASM307635v1,Medicago sativa,NA,Agriculture
GCA_003054785.2_ASM305478v2,NA,soil sample,Soil
GCA_003606425.1_ASM360642v1,NA,NA,NA
GCA_009429045.2_ASM942904v2,Homo sapiens,urine catheter,Humans
GCA_010183685.1_ASM1018368v1,Homo sapiens,urine,Humans
GCA_000172795.2_ASM17279v2,NA,NA,NA
GCA_002880615.1_ASM288061v1,NA,NA,NA
GCA_002848545.1_ASM284854v1,Homo sapiens,NA,Humans
GCA_001635875.1_ASM163587v1,NA,blood of a hospitalized patient,Humans
GCA_000696675.2_ASM69667v2,NA,hydroponic pots with potatoes,Agriculture
GCA_004328745.1_ASM432874v1,NA,NA,NA
GCA_000271405.2_ASM27140v2,NA,NA,NA
GCA_002952715.2_ASM295271v2,NA,air,Terrestrial
GCA_002073255.2_ASM207325v2,NA,Turkey,Livestock
GCA_001746455.1_ASM174645v1,NA,soil,Soil
GCA_008386295.1_ASM838629v1,yak,milk,Livestock
GCA_009734285.1_ASM973428v1,Avena sativa,NA,Agriculture
GCA_003260185.2_ASM326018v2,NA,gold-copper mine,Terrestrial
GCA_901827175.1_ASM90182717v1,NA,Riverbed sediment,Sediment
GCA_001975225.1_ASM197522v1,NA,NA,NA
GCA_012166915.1_ASM1216691v1,NA,milk,Food
GCA_011045375.1_ASM1104537v1,Homo sapiens,NA,Humans
GCA_002157165.1_ASM215716v1,NA,soil,Soil
GCA_002953135.1_ASM295313v1,NA,Semi arid soil; 0-5 cm,Soil
GCA_000209675.1_ASM20967v1,Gallus gallus,lesion of a laying hen affected by peritonitis,Livestock
GCA_003999505.1_ASM399950v1,common bean,leaves of Phaseolus vulgaris,Agriculture
GCA_002759395.1_ASM275939v1,Phaseolus vulgaris,NA,Agriculture
GCA_013113755.1_ASM1311375v1,Carrot,NA,Agriculture
GCA_003948535.2_ASM394853v2,Homo sapiens,trach asp,Humans
GCA_001521895.1_ASM152189v1,Homo sapiens,urine,Humans
GCA_002953175.1_ASM295317v1,NA,NA,NA
GCA_002968755.1_ASM296875v1,NA,NA,NA
GCA_900660485.1_50648_E01-3,NA,Brain,Humans
GCA_013282355.1_ASM1328235v1,NA,surface water,Freshwater
GCA_013315715.1_ASM1331571v1,Homo sapiens,rectal swab from healthy college student,Humans
GCA_004799605.1_ASM479960v1,NA,DSM:3754,NA
GCA_000348825.1_ASM34882v1,NA,NA,NA
GCA_003865195.2_ASM386519v2,NA,marine sediment,Sediment
GCA_000016765.1_ASM1676v1,NA,NA,NA
GCA_013349225.1_ASM1334922v1,Homo sapiens,clinical isolate,Humans
GCA_001612515.1_ASM161251v1,NA,tuna,Animals
GCA_009708295.1_ASM970829v1,Salmo salar,NA,Animals
GCA_011405175.1_ASM1140517v1,NA,sediment of hot spring,Terrestrial
GCA_001702475.1_ASM170247v1,Homo sapiens,feces,Humans
GCA_001488575.1_Halobacterium_hubeiense_JI20-1,NA,NA,NA
GCA_009650075.1_ASM965007v1,Homo sapiens,NA,Humans
GCA_013341435.1_ASM1334143v1,Homo sapiens,urine specimens,Humans
GCA_000576535.1_ASM57653v1,Homo sapiens,wound infection of a hospitalized patient,Humans
GCA_001644685.1_ASM164468v1,NA,waste sludge of a brewery plant,Human-impacted
GCA_003324915.1_ASM332491v1,NA,NA,NA
GCA_001989735.1_ASM198973v1,NA,Turbot,Animals
GCA_001717605.1_ASM171760v1,NA,Housefly,Animals
GCA_005860795.2_ASM586079v2,NA,Saline Desert Soil,Soil
GCA_002754815.1_ASM275481v1,Homo sapiens,Peripheral Blood,Humans
GCA_000471965.1_ASM47196v1,Nauphoeta cinerea,NA,Animals
GCA_002456135.1_ASM245613v1,Drosophila melanogaster Oregon-R modENCODE,NA,Animals
GCA_000255135.1_ASM25513v1,NA,deep-sea hydrothermal vent chimney at a depth of 2630 meters on the East-Pacific Rise,Marine
GCA_000828875.1_ASM82887v1,NA,NA,NA
GCA_003073495.1_ASM307349v1,NA,Shelled Pistachios,Food
GCA_002741785.1_ASM274178v1,Homo sapiens,patient's blood plasma,Humans
GCA_002368315.1_ASM236831v1,NA,NA,NA
GCA_002944315.1_ASM294431v1,Phaseolus vulgaris,plant nodule in agricultural field,Agriculture
GCA_001890265.1_ASM189026v1,Homo sapiens,NA,Humans
GCA_003515205.1_ASM351520v1,Solanum tuberosum,Potato bacterial wilt,Agriculture
GCA_010918635.1_ASM1091863v1,goose,stool,Livestock
GCA_002849955.1_ASM284995v1,NA,NA,NA
GCA_009931275.1_ASM993127v1,chicken,NA,Livestock
GCA_012934535.1_ASM1293453v1,Homo sapiens,rectal swab from healthy college student,Humans
GCA_012935125.1_ASM1293512v1,Homo sapiens,BAL,Humans
GCA_000949425.1_ASM94942v1,NA,soil,Soil
GCA_001578515.1_ASM157851v1,NA,water(ENVO:00002006),Freshwater
GCA_013348965.1_ASM1334896v1,Homo sapiens,sputum,Humans
GCA_000318765.1_ASM31876v1,NA,NA,NA
GCA_003032055.1_ASM303205v1,NA,NA,NA
GCA_008728875.1_ASM872887v1,NA,Laboratory isolate,NA
GCA_001011115.1_ASM101111v1,NA,anoxic sediment,Sediment
GCA_002906435.1_ASM290643v1,NA,NA,NA
GCA_001713435.1_ASM171343v1,NA,Chrysochromulina tobin phycosphere,Plants
GCA_013307125.1_ASM1330712v1,Homo sapiens,feces,Humans
GCA_002022085.1_ASM202208v1,Homo sapiens,NA,Humans
GCA_011039955.1_ASM1103995v1,NA,soil,Soil
GCA_009697245.1_ASM969724v1,NA,kimchi,Food
GCA_009708875.1_ASM970887v1,Salmo salar,NA,Animals
GCA_002935105.1_ASM293510v1,NA,NA,NA
GCA_003176835.1_ASM317683v1,NA,almond drupe,Agriculture
GCA_000281195.1_ASM28119v1,pig,feces,Livestock
GCA_002000625.1_ASM200062v1,Homo sapiens,Wound left foot,Humans
GCA_012295505.1_ASM1229550v1,NA,NA,NA
GCA_000147835.3_ASM14783v3,NA,freshwater sediment,Sediment
GCA_000953555.1_JGS6382,NA,NA,NA
GCA_000833125.1_ASM83312v1,NA,Bison,Animals
GCA_000090405.1_ASM9040v2,NA,NA,NA
GCA_000833215.1_ASM83321v1,NA,water,Freshwater
GCA_000318625.1_ASM31862v1,NA,NA,NA
GCA_003226735.1_ASM322673v1,Cryptocercus punctulatus,NA,Animals
GCA_001902235.1_ASM190223v1,Homo sapiens,Wound,Humans
GCA_000284235.1_ASM28423v1,NA,NA,NA
GCA_002849895.1_ASM284989v1,NA,marinated fish product,Food
GCA_009759825.1_ASM975982v1,NA,human feces (woman; 60 years old),Humans
GCA_003719755.1_ASM371975v1,NA,NA,NA
GCA_011290425.1_ASM1129042v1,NA,isolated from the tobacco substrate,Agriculture
GCA_000832485.1_ASM83248v1,NA,NA,NA
GCA_013344545.1_ASM1334454v1,Homo sapiens,feces,Humans
GCA_011387195.1_ASM1138719v1,Bos taurus coreanae,Rumen fluid,Livestock
GCA_011212705.1_ASM1121270v1,NA,coral,Animals
GCA_002148215.1_ASM214821v1,NA,10 weeks old Samso 45+ cheese,Food
GCA_010320145.1_ASM1032014v1,Homo sapiens,NA,Humans
GCA_006843645.1_ASM684364v1,Homo sapiens,urine,Humans
GCA_002192395.1_ASM219239v1,NA,NA,NA
GCA_000767055.1_ASM76705v1,NA,NA,NA
GCA_001277235.1_ASM127723v1,NA,milk powder production facility,Human-impacted
GCA_009856545.1_ASM985654v1,NA,sludge,Human-impacted
GCA_001932615.1_ASM193261v1,NA,Jogaejeotgal; a Traditional Korean Fermented Seafood,Food
GCA_009709175.1_ASM970917v1,Oncorhynchus kisutch,NA,Animals
GCA_002082605.1_ASM208260v1,NA,soil,Soil
GCA_003568625.1_ASM356862v1,NA,soil,Soil
GCA_000264455.2_ASM26445v2,NA,NA,NA
GCA_003798225.1_ASM379822v1,NA,NA,NA
GCA_002948565.1_ASM294856v1,NA,NA,NA
GCA_000941035.1_ASM94103v1,NA,NA,NA
GCA_005706035.1_ASM570603v1,Homo sapiens,NA,Humans
GCA_008329645.1_ASM832964v1,NA,NA,NA
GCA_007954745.1_ASM795474v1,NA,kimchi,Food
GCA_009892285.1_ASM989228v1,Homo sapiens,Ulcer by decubitus,Humans
GCA_000583755.1_ASM58375v1,NA,NA,NA
GCA_002215155.1_ASM221515v1,Odocoileus virginianus,feces,Animals
GCA_000763535.2_ASM76353v2,NA,NA,NA
GCA_007633215.1_ASM763321v1,Peromyscus leucopus,Stomach contents,Animals
GCA_000725285.1_ASM72528v1,NA,1 month-old fish sauce mash,Food
GCA_005154805.1_ASM515480v1,NA,Contaminated Mine Soils,Human-impacted
GCA_008693465.1_ASM869346v1,Homo sapiens,clinical isolate,Humans
GCA_000012225.1_ASM1222v1,Lactuca sativa,NA,Agriculture
GCA_003261575.2_ASM326157v2,Homo sapiens,NA,Humans
GCA_003019855.1_ASM301985v1,NA,catfish,Animals
GCA_000285655.3_EC958.v1,NA,NA,NA
GCA_002257765.2_ASM225776v2,Homo sapiens,NA,Humans
GCA_000583795.1_ASM58379v1,NA,NA,NA
GCA_007855645.1_ASM785564v1,NA,saline soil,Soil
GCA_000015725.1_ASM1572v1,NA,NA,NA
GCA_013425825.1_ASM1342582v1,NA,coke and gas plant treatment facilities,Human-impacted
GCA_003354905.1_ASM335490v1,Homo sapiens,nares,Humans
GCA_003194005.1_ASM319400v1,NA,NA,NA
GCA_002759115.1_ASM275911v1,Phaseolus vulgaris,NA,Agriculture
GCA_009363255.1_ASM936325v1,NA,Surface of a polyethylene microplastic particle present in tank 6 of a marine aquarium containing stony-coral fragments and water maintained at 26 degree C,Human-impacted
GCA_012980805.1_ASM1298080v1,Apple tree,NA,Agriculture
GCA_000019545.1_ASM1954v1,NA,NA,NA
GCA_900660725.1_57792_D01-3,NA,Brain,Humans
GCA_000019885.1_ASM1988v1,NA,NA,NA
GCA_000006805.1_ASM680v1,NA,NA,NA
GCA_001901145.1_ASM190114v1,mouse,feces,Animals
GCA_003955965.1_ASM395596v1,Homo sapiens,feces,Humans
GCA_000025485.1_ASM2548v1,NA,NA,NA
GCA_001664225.1_ASM166422v1,Phaseolus vulgaris,legume-root nodule,Agriculture
GCA_001078495.2_ASM107849v2,NA,Soil,Soil
GCA_009429145.1_ASM942914v1,NA,soil,Soil
GCA_000090965.1_ASM9096v1,Cinara cedri,NA,Animals
GCA_002209165.2_ASM220916v2,Homo sapiens,NA,Humans
GCA_008805035.1_ASM880503v1,Homo sapiens,brain abscess,Humans
GCA_005081945.1_ASM508194v1,Brachycaudus cardui,air,Animals
GCA_009176785.1_ASM917678v1,Homo sapiens,blood,Humans
GCA_003031205.1_ASM303120v1,seabass,NA,Animals
GCA_002012345.1_ASM201234v1,banana,banana plantation infected with Banana Blood Disease,Agriculture
GCA_001611035.1_ASM161103v1,NA,NA,NA
GCA_002110695.1_Cjejuni.CJ069CC21_v1.0,Homo sapiens,Blood,Humans
GCA_005221325.1_ASM522132v1,NA,NA,NA
GCA_000582515.1_ASM58251v1,rabbit,feces,Livestock
GCA_001548295.1_ASM154829v1,NA,NA,NA
GCA_001572765.1_ASM157276v1,NA,NA,NA
GCA_013177395.1_ASM1317739v1,NA,food,Food
GCA_007954485.1_ASM795448v1,Homo sapiens,clinical sample,Humans
GCA_013168155.1_ASM1316815v1,cattle,cattle feces,Livestock
GCA_013349145.1_ASM1334914v1,NA,NA,NA
GCA_001989555.1_ASM198955v1,Homo sapiens,Clinical,Humans
GCA_009757235.1_ASM975723v1,Homo sapiens,NA,Humans
GCA_001658005.1_ASM165800v1,NA,soil,Soil
GCA_003071425.1_ASM307142v1,Homo sapiens,urine,Humans
GCA_009646115.1_ASM964611v1,eucalypti of Eucalyptus,Strains belonging to this species have been isolated from eucalyptus leaves showing symptoms of bacterial blight and die-back in Uruguay,Plants
GCA_012563145.1_ASM1256314v1,Plateumaris consimilis,Beetle Malpighian tubules,Animals
GCA_000382965.1_ASM38296v1,NA,NA,NA
GCA_000583105.1_ASM58310v1,NA,NA,NA
GCA_002368035.1_ASM236803v1,NA,NA,NA
GCA_010993915.2_ASM1099391v2,dog,NA,Livestock
GCA_003052785.2_ASM305278v2,homo,Foodborne disease surveillance,Humans
GCA_006385115.1_ASM638511v1,bovine,NA,Livestock
GCA_004923295.1_ASM492329v1,NA,soil,Soil
GCA_000517485.2_gabuh2107_v01,Homo sapiens,sputum,Humans
GCA_007724025.1_ASM772402v1,Soybean (Glycine max (L.) Merrill),NA,Agriculture
GCA_007363175.1_ASM736317v1,NA,soil,Soil
GCA_000706685.1_ASM70668v1,NA,NA,NA
GCA_002117225.1_ASM211722v1,NA,wheat beer,Food
GCA_001766235.1_ASM176623v1,NA,NA,NA
GCA_003665275.1_ASM366527v1,NA,Cheonggukjang,Food
GCA_009730095.1_ASM973009v1,Homo sapiens,clinical isolate,Humans
GCA_000817935.1_ASM81793v1,Homo sapiens,infant stool,Humans
GCA_001886415.1_ASM188641v1,NA,seawater,Marine
GCA_012053325.1_ASM1205332v1,Homo sapiens,Diarrheal patient,Humans
GCA_900573445.1_NRS576,NA,NA,NA
GCA_000743035.1_ASM74303v1,Acanthamoeba polyphaga HN-3,NA,Animals
GCA_000724285.2_K25_1.0,pig,liver,Livestock
GCA_001635955.1_ASM163595v1,NA,soil,Soil
GCA_001661675.2_ASM166167v2,NA,NA,NA
GCA_000007625.1_ASM762v1,NA,NA,NA
GCA_009857155.1_ASM985715v1,Bos taurus,NA,Livestock
GCA_003595445.1_ASM359544v1,Homo sapiens,Sputum,Humans
GCA_001647675.1_ASM164767v1,Mus musculus,tracheal swab from cat-captured mouse,Animals
GCA_002180255.1_ASM218025v1,NA,NA,NA
GCA_006770485.1_ASM677048v1,Homo sapiens,healthy adult fecal sample,Humans
GCA_001865475.1_ASM186547v1,NA,chicken liver,Food
GCA_000516655.1_CpneumoniaeB21_v1,Perameles bougainville,nasal swab,Animals
GCA_000698515.2_ASM69851v2,Homo sapiens,clinical sample,Humans
GCA_008693805.1_ASM869380v1,Homo sapiens,clinical isolate,Humans
GCA_000961515.1_ASM96151v1,NA,White-rot fungus Phanerochaete chrysosporium,Animals
GCA_003606285.1_ASM360628v1,Hyalomma aegyptium,tick from tortoise,Animals
GCA_008761455.2_ASM876145v2,NA,NA,NA
GCA_003966835.1_ASM396683v1,NA,leaf of fig tree,Plants
GCA_000317535.1_ASM31753v1,NA,soil,Soil
GCA_008619075.1_ASM861907v1,Homo sapiens,Sputum isolated from host,Humans
GCA_003368325.1_ASM336832v1,NA,tea plantation soil,Soil
GCA_001651925.2_ASM165192v2,NA,feces,Humans
GCA_001447805.1_ASM144780v1,NA,Biocathode MCL,Human-impacted
GCA_001294645.1_ASM129464v1,Apterostigma,Exoskeleton of ant,Animals
GCA_000833045.1_ASM83304v1,zebra,Animal; carcass of dead zebra,Animals
GCA_004919365.1_ASM491936v1,Homo sapiens,NA,Humans
GCA_009913695.1_ASM991369v1,NA,kimchi,Food
GCA_009392895.1_ASM939289v1,NA,Xinjiang Aibi Salt Lake,Terrestrial
GCA_001870105.1_ASM187010v1,NA,chicken Gizzard,Food
GCA_001558735.2_ASM155873v2,Homo sapiens,Wound swab,Humans
GCA_000010965.1_ASM1096v1,NA,NA,NA
GCA_002999235.1_ASM299923v1,Homo sapiens,nylon brush,Humans
GCA_000724325.2_BKT75002_1.0,chicken,liver,Livestock
GCA_003571705.1_ASM357170v1,NA,NA,NA
GCA_011045855.1_ASM1104585v1,NA,a anal swab sample of swine origin,Livestock
GCA_007827115.1_ASM782711v1,NA,retail pork,Food
GCA_009649035.1_ASM964903v1,NA,chicken breast,Food
GCA_002844375.1_ASM284437v1,NA,surface seawater,Marine
GCA_007833815.1_ASM783381v1,cabbage,cabbage seeds,Agriculture
GCA_002504145.1_ASM250414v1,Homo sapiens,sputum,Humans
GCA_003073335.1_ASM307333v1,NA,NA,NA
GCA_000009185.1_ASM918v1,NA,NA,NA
GCA_008973485.1_ASM897348v1,NA,Antarctic iceberg,Marine
GCA_008370085.1_ASM837008v1,Homo sapiens,urina,Humans
GCA_003429365.1_ASM342936v1,Homo sapiens,Human Stool,Humans
GCA_013168195.1_ASM1316819v1,bovine,NA,Livestock
GCA_013206965.1_ASM1320696v1,NA,NA,NA
GCA_003999565.1_ASM399956v1,common bean,leaves of Phaseolus vulgaris,Agriculture
GCA_000961395.1_ASM96139v1,Citrus sinensis,citrus infected tissue,Agriculture
GCA_013167555.1_ASM1316755v1,cattle,cattle feces,Livestock
GCA_000747545.1_ASM74754v1,NA,NA,NA
GCA_003031505.1_ASM303150v1,Homo sapiens,urine,Humans
GCA_000221025.1_ASM22102v1,NA,NA,NA
GCA_009648715.1_ASM964871v1,NA,food,Food
GCA_001653795.1_ASM165379v1,NA,forest soil,Soil
GCA_005221365.1_ASM522136v1,NA,NA,NA
GCA_001951075.2_ASM195107v2,Homo sapiens,infant saliva,Humans
GCA_000689355.1_PRJEB5999_assembly_1,NA,NA,NA
GCA_003860645.2_ASM386064v2,Homo sapiens,blood,Humans
GCA_008195605.1_ASM819560v1,Homo sapiens,urine sample,Humans
GCA_002813875.1_ASM281387v1,NA,activated sludge,Human-impacted
GCA_006740765.1_ASM674076v1,NA,Biocathode MCL; marine biofilm,Marine
GCA_001019255.2_ASM101925v2,Homo sapiens,child - hospital pneumology ward,Humans
GCA_001787355.1_ASM178735v1,NA,Ragi,Agriculture
GCA_003173695.1_ASM317369v1,Apis mellifera,gut,Animals
GCA_900239975.1_Chlamydia_sp._S15-834K,NA,Snake,Animals
GCA_000512205.2_ASM51220v2,NA,NA,NA
GCA_000026225.1_ASM2622v1,NA,NA,NA
GCA_009936375.1_ASM993637v1,NA,NA,NA
GCA_000019645.1_ASM1964v1,NA,NA,NA
GCA_003790375.1_ASM379037v1,Homo sapiens,feces,Humans
GCA_000968535.1_ASM96853v1,NA,NA,NA
GCA_000988395.1_ASM98839v1,Panicum miliaceum,Diseased vegetative millet,Agriculture
GCA_002085755.1_ASM208575v1,Homo sapiens,sputum,Humans
GCA_013364315.1_ASM1336431v1,NA,soil,Soil
GCA_002740885.1_ASM274088v1,Homo sapiens,fecal screen,Humans
GCA_009708975.1_ASM970897v1,Salmo salar,NA,Animals
GCA_003209315.1_ASM320931v1,NA,shrimp,Animals
GCA_003568645.1_ASM356864v1,Homo sapiens,NA,Humans
GCA_002934285.1_ASM293428v1,NA,NA,NA
GCA_004141955.1_ASM414195v1,Homo sapiens,urine,Humans
GCA_013394005.1_ASM1339400v1,NA,swine's gut,Livestock
GCA_004847525.1_ASM484752v1,NA,tuna scrape; frozen yellowfin nakaoachi,Animals
GCA_001698145.1_ASM169814v1,NA,Kimchi,Food
GCA_002117205.1_ASM211720v1,NA,Mactra veneriformis,Animals
GCA_003296225.1_ASM329622v1,Homo sapiens,Tracheal secretion,Humans
GCA_000181575.2_ASM18157v2,NA,NA,NA
GCA_001891125.1_ASM189112v1,NA,NA,NA
GCA_003717095.1_ASM371709v1,NA,NA,NA
GCA_900184385.1_STMU2UK,NA,NA,NA
GCA_000237285.1_ASM23728v1,NA,NA,NA
GCA_004319665.1_ASM431966v1,NA,Korean infant feces,Humans
GCA_013122115.1_ASM1312211v1,NA,NA,NA
GCA_002096055.1_ASM209605v1,Physcomitrella patens,NA,Plants
GCA_001698125.1_ASM169812v1,Apsterostigma,exoskeleton of ant,Animals
GCA_002866045.1_ASM286604v1,NA,NA,NA
GCA_012054045.1_ASM1205404v1,chicken,Chicken product,Food
GCA_001907975.2_ASM190797v2,NA,freshwater,Freshwater
GCA_003590755.1_ASM359075v1,Bos taurus,bovine lymph node,Livestock
GCA_003609755.1_ASM360975v1,NA,freshwater lake,Freshwater
GCA_004768705.1_ASM476870v1,Homosapiens,blood,Humans
GCA_013085485.1_ASM1308548v1,NA,sludge from bioreactor treating oxytetracycline bearing wastewater,Human-impacted
GCA_003967055.1_ASM396705v1,NA,soil,Soil
GCA_001593565.1_ASM159356v1,Homo sapiens,NA,Humans
GCA_000010985.1_ASM1098v1,NA,NA,NA
GCA_004847145.1_ASM484714v1,NA,tuna steaks; frozen yellowfin,Food
GCA_003073635.1_ASM307363v1,NA,NA,NA
GCA_004919245.1_ASM491924v1,Homo sapiens,NA,Humans
GCA_002933335.1_ASM293333v1,Edessa sp.,NA,Animals
GCA_002953435.1_ASM295343v1,Homo sapiens,faecal sample,Humans
GCA_000364765.1_ASM36476v1,NA,NA,NA
GCA_004919465.1_ASM491946v1,Homo sapiens,NA,Humans
GCA_003515185.1_ASM351518v1,Solanum tuberosum,Potato bacterial wilt,Agriculture
GCA_001307235.1_ASM130723v1,Homo sapiens,Clinical specimen,Humans
GCA_008065015.2_ASM806501v2,Homo sapines,human urine,Humans
GCA_001886595.1_ASM188659v1,NA,NA,NA
GCA_004923315.1_ASM492331v1,NA,rice paddy soil,Soil
GCA_000725365.1_ASM72536v1,Cryptomeria fortunei,NA,Plants
GCA_000266885.1_ASM26688v1,NA,contaminated culture medium,Human-impacted
GCA_002850535.1_ASM285053v1,NA,sea mud,Sediment
GCA_001679705.1_ASM167970v1,NA,bovine rumen,Livestock
GCA_004319525.1_ASM431952v1,Homo sapiens,blood,Humans
GCA_013267455.1_ASM1326745v1,NA,NA,NA
GCA_002997315.1_ASM299731v1,Homo sapiens,feces,Humans
GCA_000314875.2_ASM31487v2,Drosophila melanogaster,wild caught Drosophila melanogaster,Animals
GCA_001420935.1_ASM142093v1,Homo sapiens,NA,Humans
GCA_007035975.1_ASM703597v1,NA,river water,Freshwater
GCA_001548115.1_Gm3709_assembly_1.0,NA,NA,NA
GCA_900637875.1_52700_F01,NA,Sputum,Humans
GCA_001654475.1_ASM165447v1,NA,soil,Soil
GCA_000224575.1_ASM22457v1,Homo sapiens,asymptomatic Santal ethnic minority patient,Humans
GCA_003515165.1_ASM351516v1,Solanum tuberosum,Potato bacterial wilt,Agriculture
GCA_004919345.1_ASM491934v1,Homo sapiens,NA,Humans
GCA_000284155.1_ASM28415v1,NA,NA,NA
GCA_002302375.1_ASM230237v1,alfalfa,nitrogen fixing nodules,Agriculture
GCA_002220465.1_ASM222046v1,Tobacco,NA,Agriculture
GCA_002128325.1_ASM212832v1,NA,Meat,Food
GCA_000196435.1_ASM19643v1,NA,NA,NA
GCA_000382985.1_ASM38298v1,NA,NA,NA
GCA_008152325.1_ASM815232v1,NA,hydrothermal vent,Marine
GCA_000196015.1_ASM19601v1,NA,NA,NA
